movieId,rating_count,title,genres,imdbId,tmdbId,overview,tags
317,81,"Santa Clause, The (1994)",Comedy|Drama|Fantasy,111070,11395,,comedy drama fantasy 
318,317,"Shawshank Redemption, The (1994)",Crime|Drama,111161,278,,crime drama 
329,108,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi,111280,193,,adventure drama sci-fi 
333,50,Tommy Boy (1995),Comedy,114694,11381,,comedy 
337,77,What's Eating Gilbert Grape (1993),Drama,108550,1587,,drama 
339,98,While You Were Sleeping (1995),Comedy|Romance,114924,2064,,comedy romance 
344,161,Ace Ventura: Pet Detective (1994),Comedy,109040,3049,,comedy 
349,110,Clear and Present Danger (1994),Action|Crime|Drama|Thriller,109444,9331,,action crime drama thriller 
350,57,"Client, The (1994)",Drama|Mystery|Thriller,109446,10731,,drama mystery thriller 
353,64,"Crow, The (1994)",Action|Crime|Fantasy|Thriller,109506,9495,,action crime fantasy thriller 
356,329,Forrest Gump (1994),Comedy|Drama|Romance|War,109830,13,,comedy drama romance war 
357,103,Four Weddings and a Funeral (1994),Comedy|Romance,109831,712,,comedy romance 
364,172,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587,,adventure animation children drama musical imax 
367,157,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,110475,854,,action comedy crime fantasy 
368,74,Maverick (1994),Adventure|Comedy|Western,110478,9359,,adventure comedy western 
370,58,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy,110622,36593,,action comedy 
377,171,Speed (1994),Action|Romance|Thriller,111257,1637,,action romance thriller 
380,178,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller,111503,36955,,action adventure comedy romance thriller 
410,84,Addams Family Values (1993),Children|Comedy|Fantasy,106220,2758,,children comedy fantasy 
420,59,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller,109254,306,,action comedy crime thriller 
432,55,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western,109439,11310,,adventure comedy western 
434,101,Cliffhanger (1993),Action|Adventure|Thriller,106582,9350,,action adventure thriller 
435,63,Coneheads (1993),Comedy|Sci-Fi,106598,9612,,comedy sci-fi 
440,76,Dave (1993),Comedy|Romance,106673,11566,,comedy romance 
442,81,Demolition Man (1993),Action|Adventure|Sci-Fi,106697,9739,,action adventure sci-fi 
454,101,"Firm, The (1993)",Drama|Thriller,106918,37233,,drama thriller 
457,190,"Fugitive, The (1993)",Thriller,106977,5503,,thriller 
466,60,Hot Shots! Part Deux (1993),Action|Comedy|War,107144,9255,,action comedy war 
474,70,In the Line of Fire (1993),Action|Thriller,107206,9386,,action thriller 
480,238,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290,329,,action adventure sci-fi thriller 
485,53,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy,107362,9593,,action adventure comedy fantasy 
500,144,Mrs. Doubtfire (1993),Comedy|Drama,107614,788,,comedy drama 
508,66,Philadelphia (1993),Drama,107818,9800,,drama 
509,61,"Piano, The (1993)",Drama|Romance,107822,713,,drama romance 
520,69,Robin Hood: Men in Tights (1993),Comedy,107977,8005,,comedy 
527,220,Schindler's List (1993),Drama|War,108052,424,,drama war 
539,106,Sleepless in Seattle (1993),Comedy|Drama|Romance,108160,858,,comedy drama romance 
541,124,Blade Runner (1982),Action|Sci-Fi|Thriller,83658,78,,action sci-fi thriller 
551,93,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical,107688,9479,,animation children fantasy musical 
552,61,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance,108333,10057,,action adventure comedy romance 
553,65,Tombstone (1993),Action|Drama|Western,108358,11969,,action drama western 
555,65,True Romance (1993),Crime|Thriller,108399,319,,crime thriller 
586,116,Home Alone (1990),Children|Comedy,99785,771,,children comedy 
587,115,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller,99653,251,,comedy drama fantasy romance thriller 
588,183,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,103639,812,,adventure animation children comedy musical 
589,224,Terminator 2: Judgment Day (1991),Action|Sci-Fi,103064,280,,action sci-fi 
590,164,Dances with Wolves (1990),Adventure|Drama|Western,99348,581,,adventure drama western 
592,189,Batman (1989),Action|Crime|Thriller,96895,268,,action crime thriller 
593,279,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller,102926,274,,crime horror thriller 
594,77,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,29583,408,,animation children drama fantasy musical 
595,146,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,101414,10020,,animation children fantasy musical romance imax 
596,60,Pinocchio (1940),Animation|Children|Fantasy|Musical,32910,10895,,animation children fantasy musical 
597,135,Pretty Woman (1990),Comedy|Romance,100405,114,,comedy romance 
608,181,Fargo (1996),Comedy|Crime|Drama|Thriller,116282,275,,comedy crime drama thriller 
648,162,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller,117060,954,,action adventure mystery thriller 
653,65,Dragonheart (1996),Action|Adventure|Fantasy,116136,8840,,action adventure fantasy 
673,53,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,117705,2300,,adventure animation children comedy fantasy sci-fi 
708,58,"Truth About Cats & Dogs, The (1996)",Comedy|Romance,117979,8866,,comedy romance 
733,121,"Rock, The (1996)",Action|Adventure|Thriller,117500,9802,,action adventure thriller 
736,123,Twister (1996),Action|Adventure|Romance|Thriller,117998,664,,action adventure romance thriller 
750,97,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War,57012,935,,comedy war 
778,102,Trainspotting (1996),Comedy|Crime|Drama,117951,627,,comedy crime drama 
780,202,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller,116629,602,,action adventure sci-fi thriller 
784,54,"Cable Guy, The (1996)",Comedy|Thriller,115798,9894,,comedy thriller 
786,64,Eraser (1996),Action|Drama|Thriller,116213,9268,,action drama thriller 
788,82,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi,117218,9327,,comedy fantasy romance sci-fi 
858,192,"Godfather, The (1972)",Crime|Drama,68646,238,,crime drama 
903,60,Vertigo (1958),Drama|Mystery|Romance|Thriller,52357,426,,drama mystery romance thriller 
904,84,Rear Window (1954),Mystery|Thriller,47396,567,,mystery thriller 
908,57,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller,53125,213,,action adventure mystery romance thriller 
910,50,Some Like It Hot (1959),Comedy|Crime,53291,239,,comedy crime 
912,100,Casablanca (1942),Drama|Romance,34583,289,,drama romance 
919,92,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,32138,630,,adventure children fantasy musical 
923,69,Citizen Kane (1941),Drama|Mystery,33467,15,,drama mystery 
924,109,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,62622,62,,adventure drama sci-fi 
953,58,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance,38650,1585,,children drama fantasy romance 
1028,71,Mary Poppins (1964),Children|Comedy|Fantasy|Musical,58331,433,,children comedy fantasy musical 
1035,64,"Sound of Music, The (1965)",Musical|Romance,59742,15121,,musical romance 
1036,145,Die Hard (1988),Action|Crime|Thriller,95016,562,,action crime thriller 
1073,119,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical,67992,252,,children comedy fantasy musical 
1079,71,"Fish Called Wanda, A (1988)",Comedy|Crime,95159,623,,comedy crime 
1080,89,Monty Python's Life of Brian (1979),Comedy,79470,583,,comedy 
1089,131,Reservoir Dogs (1992),Crime|Mystery|Thriller,105236,500,,crime mystery thriller 
1090,63,Platoon (1986),Drama|War,91763,792,,drama war 
1097,122,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi,83866,601,,children drama sci-fi 
1101,83,Top Gun (1986),Action|Romance,92099,744,,action romance 
1127,62,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller,96754,2756,,action adventure sci-fi thriller 
1136,136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy,71853,762,,adventure comedy fantasy 
1148,56,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime,108598,531,,animation children comedy crime 
1193,133,One Flew Over the Cuckoo's Nest (1975),Drama,73486,510,,drama 
1196,211,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi,80684,1891,,action adventure sci-fi 
1197,142,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance,93779,2493,,action adventure comedy fantasy romance 
1198,200,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure,82971,85,,action adventure 
1199,59,Brazil (1985),Fantasy|Sci-Fi,88846,68,,fantasy sci-fi 
1200,126,Aliens (1986),Action|Adventure|Horror|Sci-Fi,90605,679,,action adventure horror sci-fi 
1201,72,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western,60196,429,,action adventure western 
1203,57,12 Angry Men (1957),Drama,50083,389,,drama 
1206,120,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller,66921,185,,crime drama sci-fi thriller 
1207,58,To Kill a Mockingbird (1962),Drama,56592,595,,drama 
1208,107,Apocalypse Now (1979),Action|Drama|War,78788,28,,action drama war 
1210,196,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi,86190,1892,,action adventure sci-fi 
1213,126,Goodfellas (1990),Crime|Drama,99685,769,,crime drama 
1214,146,Alien (1979),Horror|Sci-Fi,78748,348,,horror sci-fi 
1215,51,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror,106308,766,,action adventure comedy fantasy horror 
1219,83,Psycho (1960),Crime|Horror,54215,539,,crime horror 
1220,84,"Blues Brothers, The (1980)",Action|Comedy|Musical,80455,525,,action comedy musical 
1221,129,"Godfather: Part II, The (1974)",Crime|Drama,71562,240,,crime drama 
1222,102,Full Metal Jacket (1987),Drama|War,93058,600,,drama war 
1225,76,Amadeus (1984),Drama,86879,279,,drama 
1230,58,Annie Hall (1977),Comedy|Romance,75686,703,,comedy romance 
1234,64,"Sting, The (1973)",Comedy|Crime,70735,9277,,comedy crime 
1240,131,"Terminator, The (1984)",Action|Sci-Fi|Thriller,88247,218,,action sci-fi thriller 
1246,86,Dead Poets Society (1989),Drama,97165,207,,drama 
1247,79,"Graduate, The (1967)",Comedy|Drama|Romance,61722,37247,,comedy drama romance 
1252,59,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller,71315,829,,crime film-noir mystery thriller 
1258,109,"Shining, The (1980)",Horror,81505,694,,horror 
1259,91,Stand by Me (1986),Adventure|Drama,92005,235,,adventure drama 
1265,143,Groundhog Day (1993),Comedy|Fantasy|Romance,107048,137,,comedy fantasy romance 
1270,171,Back to the Future (1985),Adventure|Comedy|Sci-Fi,88763,105,,adventure comedy sci-fi 
1276,57,Cool Hand Luke (1967),Drama,61512,903,,drama 
1278,69,Young Frankenstein (1974),Comedy|Fantasy,72431,3034,,comedy fantasy 
1282,53,Fantasia (1940),Animation|Children|Fantasy|Musical,32455,756,,animation children fantasy musical 
1288,66,This Is Spinal Tap (1984),Comedy,88258,11031,,comedy 
1291,140,Indiana Jones and the Last Crusade (1989),Action|Adventure,97576,89,,action adventure 
1302,56,Field of Dreams (1989),Children|Drama|Fantasy,97351,2323,,children drama fantasy 
1304,62,Butch Cassidy and the Sundance Kid (1969),Action|Western,64115,642,,action western 
1307,85,When Harry Met Sally... (1989),Comedy|Romance,98635,639,,comedy romance 
1356,91,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller,117731,199,,action adventure sci-fi thriller 
1370,68,Die Hard 2 (1990),Action|Adventure|Thriller,99423,1573,,action adventure thriller 
1374,62,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller,84726,154,,action adventure sci-fi thriller 
1377,60,Batman Returns (1992),Action|Crime,103776,364,,action crime 
1380,68,Grease (1978),Comedy|Musical|Romance,77631,621,,comedy musical romance 
1387,91,Jaws (1975),Action|Horror,73195,578,,action horror 
1391,86,Mars Attacks! (1996),Action|Comedy|Sci-Fi,116996,75,,action comedy sci-fi 
1393,85,Jerry Maguire (1996),Drama|Romance,116695,9390,,drama romance 
1394,58,Raising Arizona (1987),Comedy,93822,378,,comedy 
1407,70,Scream (1996),Comedy|Horror|Mystery|Thriller,117571,4232,,comedy horror mystery thriller 
1466,52,Donnie Brasco (1997),Crime|Drama,119008,9366,,crime drama 
1485,74,Liar Liar (1997),Comedy,119528,1624,,comedy 
1500,59,Grosse Pointe Blank (1997),Comedy|Crime|Romance,119229,9434,,comedy crime romance 
1517,100,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy,118655,816,,action adventure comedy 
1527,116,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi,119116,18,,action adventure comedy sci-fi 
1544,67,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,119567,330,,action adventure sci-fi thriller 
1552,59,Con Air (1997),Action|Adventure|Thriller,118880,1701,,action adventure thriller 
1573,77,Face/Off (1997),Action|Crime|Drama|Thriller,119094,754,,action crime drama thriller 
1580,165,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi,119654,607,,action comedy sci-fi 
1584,82,Contact (1997),Drama|Sci-Fi,118884,686,,drama sci-fi 
1608,58,Air Force One (1997),Action|Thriller,118571,9772,,action thriller 
1610,90,"Hunt for Red October, The (1990)",Action|Adventure|Thriller,99810,1669,,action adventure thriller 
1617,97,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller,119488,2118,,crime film-noir mystery thriller 
1625,77,"Game, The (1997)",Drama|Mystery|Thriller,119174,2649,,drama mystery thriller 
1639,52,Chasing Amy (1997),Comedy|Drama|Romance,118842,2255,,comedy drama romance 
1641,56,"Full Monty, The (1997)",Comedy|Drama,119164,9427,,comedy drama 
1645,51,The Devil's Advocate (1997),Drama|Mystery|Thriller,118971,1813,,drama mystery thriller 
1653,86,Gattaca (1997),Drama|Sci-Fi|Thriller,119177,782,,drama sci-fi thriller 
1676,80,Starship Troopers (1997),Action|Sci-Fi,120201,563,,action sci-fi 
1682,125,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi,120382,37165,,comedy drama sci-fi 
1704,141,Good Will Hunting (1997),Drama|Romance,119217,489,,drama romance 
1721,140,Titanic (1997),Drama|Romance,120338,597,,drama romance 
1732,106,"Big Lebowski, The (1998)",Comedy|Crime,118715,115,,comedy crime 
1777,56,"Wedding Singer, The (1998)",Comedy|Romance,120888,11003,,comedy romance 
1784,96,As Good as It Gets (1997),Comedy|Drama|Romance,119822,2898,,comedy drama romance 
1917,92,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,120591,95,,action romance sci-fi thriller 
1923,105,There's Something About Mary (1998),Comedy|Romance,129387,544,,comedy romance 
1954,64,Rocky (1976),Drama,75148,1366,,drama 
1961,96,Rain Man (1988),Drama,95953,380,,drama 
1968,113,"Breakfast Club, The (1985)",Comedy|Drama,88847,2108,,comedy drama 
1997,53,"Exorcist, The (1973)",Horror|Mystery,70047,9552,,horror mystery 
2000,75,Lethal Weapon (1987),Action|Comedy|Crime|Drama,93409,941,,action comedy crime drama 
2005,57,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy,89218,9340,,action adventure children comedy fantasy 
2006,60,"Mask of Zorro, The (1998)",Action|Comedy|Romance,120746,9342,,action comedy romance 
2011,87,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi,96874,165,,adventure comedy sci-fi 
2012,88,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western,99088,196,,adventure comedy sci-fi western 
2028,188,Saving Private Ryan (1998),Action|Drama|War,120815,857,,action drama war 
2054,68,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi,97523,9354,,adventure children comedy fantasy sci-fi 
2078,53,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical,61852,9325,,animation children comedy musical 
2080,55,Lady and the Tramp (1955),Animation|Children|Comedy|Romance,48280,10340,,animation children comedy romance 
2081,67,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance,97757,10144,,animation children comedy musical romance 
2100,51,Splash (1984),Comedy|Fantasy|Romance,88161,2619,,comedy fantasy romance 
2105,50,Tron (1982),Action|Adventure|Sci-Fi,84827,97,,action adventure sci-fi 
2115,108,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy,87469,87,,action adventure fantasy 
2167,58,Blade (1998),Action|Horror|Thriller,120611,36647,,action horror thriller 
2174,91,Beetlejuice (1988),Comedy|Fantasy,94721,4011,,comedy fantasy 
2194,65,"Untouchables, The (1987)",Action|Crime|Drama,94226,117,,action crime drama 
2268,57,"Few Good Men, A (1992)",Crime|Drama|Thriller,104257,881,,crime drama thriller 
2291,80,Edward Scissorhands (1990),Drama|Fantasy|Romance,99487,162,,drama fantasy romance 
2302,59,My Cousin Vinny (1992),Comedy,104952,10377,,comedy 
2321,61,Pleasantville (1998),Comedy|Drama|Fantasy,120789,2657,,comedy drama fantasy 
2324,88,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War,118799,637,,comedy drama romance war 
2329,129,American History X (1998),Crime|Drama,120586,73,,crime drama 
2353,67,Enemy of the State (1998),Action|Thriller,120660,9798,,action thriller 
2355,92,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy,120623,9487,,adventure animation children comedy 
2395,56,Rushmore (1998),Comedy|Drama,128445,11545,,comedy drama 
2396,92,Shakespeare in Love (1998),Comedy|Drama|Romance,138097,1934,,comedy drama romance 
2406,54,Romancing the Stone (1984),Action|Adventure|Comedy|Romance,88011,9326,,action adventure comedy romance 
2424,50,You've Got Mail (1998),Comedy|Romance,128853,9489,,comedy romance 
2470,57,Crocodile Dundee (1986),Adventure|Comedy,90555,9671,,adventure comedy 
2502,94,Office Space (1999),Comedy|Crime,151804,1542,,comedy crime 
2529,56,Planet of the Apes (1968),Action|Drama|Sci-Fi,63442,871,,action drama sci-fi 
2542,67,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,120735,100,,comedy crime thriller 
2571,278,"Matrix, The (1999)",Action|Sci-Fi|Thriller,133093,603,,action sci-fi thriller 
2572,54,10 Things I Hate About You (1999),Comedy|Romance,147800,4951,,comedy romance 
2599,56,Election (1999),Comedy,126886,9451,,comedy 
2617,87,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller,120616,564,,action adventure comedy fantasy horror thriller 
2628,140,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi,120915,1893,,action adventure sci-fi 
2640,61,Superman (1978),Action|Adventure|Sci-Fi,78346,1924,,action adventure sci-fi 
2657,63,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,73629,36685,,comedy horror musical sci-fi 
2671,56,Notting Hill (1999),Comedy|Romance,125439,509,,comedy romance 
2683,121,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy,145660,817,,action adventure comedy 
2692,75,Run Lola Run (Lola rennt) (1998),Action|Crime,130827,104,,action crime 
2699,53,Arachnophobia (1990),Comedy|Horror,99052,6488,,comedy horror 
2700,76,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical,158983,9473,,animation comedy musical 
2701,53,Wild Wild West (1999),Action|Comedy|Sci-Fi|Western,120891,8487,,action comedy sci-fi western 
2706,103,American Pie (1999),Comedy|Romance,163651,2105,,comedy romance 
2710,64,"Blair Witch Project, The (1999)",Drama|Horror|Thriller,185937,2667,,drama horror thriller 
2712,53,Eyes Wide Shut (1999),Drama|Mystery|Thriller,120663,345,,drama mystery thriller 
2716,120,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi,87332,620,,action comedy sci-fi 
2762,179,"Sixth Sense, The (1999)",Drama|Horror|Mystery,167404,745,,drama horror mystery 
2791,87,Airplane! (1980),Comedy,80339,813,,comedy 
2797,91,Big (1988),Comedy|Drama|Fantasy|Romance,94737,2280,,comedy drama fantasy romance 
2804,55,"Christmas Story, A (1983)",Children|Comedy,85334,850,,children comedy 
2858,204,American Beauty (1999),Drama|Romance,169547,14,,drama romance 
2916,88,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,100802,861,,action adventure sci-fi thriller 
2918,109,Ferris Bueller's Day Off (1986),Comedy,91042,9377,,comedy 
2947,53,Goldfinger (1964),Action|Adventure|Thriller,58150,658,,action adventure thriller 
2959,218,Fight Club (1999),Action|Crime|Drama|Thriller,137523,550,,action crime drama thriller 
2985,70,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller,93870,5548,,action crime drama sci-fi thriller 
2987,97,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery,96438,856,,adventure animation children comedy crime fantasy mystery 
2997,99,Being John Malkovich (1999),Comedy|Drama|Fantasy,120601,492,,comedy drama fantasy 
3033,59,Spaceballs (1987),Comedy|Sci-Fi,94012,957,,comedy sci-fi 
3052,79,Dogma (1999),Adventure|Comedy|Fantasy,120655,1832,,adventure comedy fantasy 
3081,62,Sleepy Hollow (1999),Fantasy|Horror|Mystery|Romance,162661,2668,,fantasy horror mystery romance 
3114,97,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy,120363,863,,adventure animation children comedy fantasy 
3147,111,"Green Mile, The (1999)",Crime|Drama,120689,497,,crime drama 
3160,52,Magnolia (1999),Drama,175880,334,,drama 
3175,75,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,177789,926,,adventure comedy sci-fi 
3253,61,Wayne's World (1992),Comedy,105793,8872,,comedy 
3408,70,Erin Brockovich (2000),Drama,195685,462,,drama 
3421,62,Animal House (1978),Comedy,77975,8469,,comedy 
3471,60,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi,75860,840,,adventure drama sci-fi 
3481,75,High Fidelity (2000),Comedy|Drama|Romance,146882,243,,comedy drama romance 
3489,53,Hook (1991),Adventure|Comedy|Fantasy,102057,879,,adventure comedy fantasy 
3527,61,Predator (1987),Action|Sci-Fi|Thriller,93773,106,,action sci-fi thriller 
3535,59,American Psycho (2000),Crime|Horror|Mystery|Thriller,144084,1359,,crime horror mystery thriller 
3552,52,Caddyshack (1980),Comedy,80487,11977,,comedy 
3578,170,Gladiator (2000),Action|Adventure|Drama,172495,98,,action adventure drama 
3623,77,Mission: Impossible II (2000),Action|Adventure|Thriller,120755,955,,action adventure thriller 
3671,62,Blazing Saddles (1974),Comedy|Western,71230,11072,,comedy western 
3717,61,Gone in 60 Seconds (2000),Action|Crime,187078,9679,,action crime 
3751,78,Chicken Run (2000),Animation|Children|Comedy,120630,7443,,animation children comedy 
3753,68,"Patriot, The (2000)",Action|Drama|War,187393,2024,,action drama war 
3785,50,Scary Movie (2000),Comedy|Horror,175142,4247,,comedy horror 
3793,133,X-Men (2000),Action|Adventure|Sci-Fi,120903,36657,,action adventure sci-fi 
3897,83,Almost Famous (2000),Drama,181875,786,,drama 
